,n_vocab,pct_words
0,100,0.8469790693665487
1,150,0.8855630344407339
2,200,0.9074959008671319
3,250,0.9236839678804376
4,300,0.9338265655881304
5,350,0.9410586787362243
6,400,0.947613282393172
7,450,0.9536246757776325
8,500,0.9582990903733518
9,550,0.9613939858003632
10,600,0.9649920021808589
11,650,0.9676539329626408
12,700,0.9698428097801902
13,750,0.9723784592071134
14,800,0.9741965098238876
15,850,0.9757178994800415
16,900,0.9769907353583784
17,950,0.9785682500611362
18,1000,0.9796326214806589
19,1050,0.9810758369647575
20,1100,0.9819998957677706
21,1150,0.9829239545707837
22,1200,0.9835994595959798
23,1250,0.9846036970369985
24,1300,0.9853513628363995
25,1350,0.9859486936895403
26,1400,0.9864959128939277
27,1450,0.9871573866574729
28,1500,0.987540239653949
29,1550,0.9880393516755331
30,1600,0.9883841198189567
31,1650,0.9888692005788897
32,1700,0.9891618526076098
33,1750,0.9894785582277313
34,1800,0.9897571789948004
35,1850,0.990071880148972
36,1900,0.9903344651884398
37,1950,0.9905870278981571
38,2000,0.9909538451670321
39,2050,0.991114202443043
40,2100,0.9913226669018573
41,2150,0.9914589705864666
42,2200,0.991683470772882
43,2250,0.991889930765746
44,2300,0.9921765693966157
45,2350,0.9923689981278287
46,2400,0.9925975072461444
47,2450,0.9927418287945543
48,2500,0.9929683334469197
49,2550,0.993058534414676
50,2600,0.9932269095544874
51,2650,0.9933431685795954
52,2700,0.9935295839129581
53,2750,0.993764106429124
54,2800,0.9938563118628304
55,2850,0.9939585396262873
56,2900,0.9940768031173455
57,2950,0.9941730174829521
58,3000,0.9942632184507082
59,3050,0.9943474060206139
60,3100,0.9944696784435723
61,3150,0.9945899464005805
62,3200,0.9946781429023865
63,3250,0.9947923974615444
64,3300,0.994846518042198
65,3350,0.9949707949311065
66,3400,0.9950088797841591
67,3450,0.9950970762859651
68,3500,0.9951652281282698
69,3550,0.9952213531748736
70,3600,0.9953055407447794
71,3650,0.9953376121999815
72,3700,0.9954057640422862
73,3750,0.9954739158845909
74,3800,0.9955120007376435
75,3850,0.9955661213182971
76,3900,0.9956362776265519
77,3950,0.9957084384007568
78,4000,0.9957725813111613
79,4050,0.9958287063577651
80,4100,0.9958888403362692
81,4150,0.995914898393621
82,4200,0.9959529832466736
83,4250,0.9959930725656764
84,4300,0.9960311574187289
85,4350,0.9960592199420308
86,4400,0.9960832735334325
87,4450,0.9961233628524352
88,4500,0.996163452171438
89,4550,0.9962095548882911
90,4600,0.9962616710029947
91,4650,0.9963097781857979
92,4700,0.9963378407090999
93,4750,0.9963919612897536
94,4800,0.9964200238130555
95,4850,0.9964581086661081
96,4900,0.9964841667234599
97,4950,0.9965342783722133
98,5000,0.9965543230317147
